"block","item_no","stim1","stim1_consonant","stim1_vowel","stim1_tone","stim2","stim2_consonant","stim2_vowel","stim2_tone","ANSWER","stim1_syllable","stim2_syllable","consonant","vowel","tone","syllable","tone_pairs","consonant_pairs","vowel_pairs","syllable_pairs"
"orthogonal","138","thia3","th","ia","t3","khw2","kh","w","t2","diff","thia","khw","th_kh","ia_w","t3t2","thia_khw","t2t3","kh_th","ia_w","khw_thia"
"orthogonal","139","khw3","kh","w","t3","tco1","tc","o","t1","diff","khw","tco","kh_tc","w_o","t3t1","khw_tco","t1t3","kh_tc","o_w","khw_tco"
"orthogonal","140","tco1","tc","o","t1","thia1","th","ia","t1","same","tco","thia","tc_th","o_ia","t1t1","tco_thia","t1t1","tc_th","ia_o","tco_thia"
"orthogonal","141","wua1","w","ua","t1","khw2","kh","w","t2","diff","wua","khw","w_kh","ua_w","t1t2","wua_khw","t1t2","kh_w","ua_w","khw_wua"
"orthogonal","142","khw1","kh","w","t1","tco3","tc","o","t3","diff","khw","tco","kh_tc","w_o","t1t3","khw_tco","t1t3","kh_tc","o_w","khw_tco"
"orthogonal","143","khw3","kh","w","t3","tco3","tc","o","t3","same","khw","tco","kh_tc","w_o","t3t3","khw_tco","t3t3","kh_tc","o_w","khw_tco"
"orthogonal","144","tco1","tc","o","t1","thia4","th","ia","t4","diff","tco","thia","tc_th","o_ia","t1t4","tco_thia","t1t4","tc_th","ia_o","tco_thia"
"orthogonal","145","khw1","kh","w","t1","wua2","w","ua","t2","diff","khw","wua","kh_w","w_ua","t1t2","khw_wua","t1t2","kh_w","ua_w","khw_wua"
"orthogonal","146","thia5","th","ia","t5","khw2","kh","w","t2","diff","thia","khw","th_kh","ia_w","t5t2","thia_khw","t2t5","kh_th","ia_w","khw_thia"
"orthogonal","147","thia5","th","ia","t5","tco4","tc","o","t4","diff","thia","tco","th_tc","ia_o","t5t4","thia_tco","t4t5","tc_th","ia_o","tco_thia"
"orthogonal","148","tco3","tc","o","t3","wua3","w","ua","t3","same","tco","wua","tc_w","o_ua","t3t3","tco_wua","t3t3","tc_w","o_ua","tco_wua"
"orthogonal","149","khw2","kh","w","t2","tco2","tc","o","t2","same","khw","tco","kh_tc","w_o","t2t2","khw_tco","t2t2","kh_tc","o_w","khw_tco"
"orthogonal","150","khw5","kh","w","t5","tco5","tc","o","t5","same","khw","tco","kh_tc","w_o","t5t5","khw_tco","t5t5","kh_tc","o_w","khw_tco"
