"block","item_no","ANSWER","stim1","stim1_consonant","stim1_vowel","stim1_tone","stim2","stim2_consonant","stim2_vowel","stim2_tone","stim1_syllable","stim2_syllable","consonant","vowel","tone","syllable","tone_pairs","consonant_pairs","vowel_pairs","syllable_pairs"
"orthogonal","71","same","wua2","w","ua","t2","thia2","th","ia","t2","wua","thia","w_th","ua_ia","t2t2","wua_thia","t2t2","th_w","ia_ua","thia_wua"
"orthogonal","72","same","khw3","kh","w","t3","tco3","tc","o","t3","khw","tco","kh_tc","w_o","t3t3","khw_tco","t3t3","kh_tc","o_w","khw_tco"
"orthogonal","73","diff","wua4","w","ua","t4","khw1","kh","w","t1","wua","khw","w_kh","ua_w","t4t1","wua_khw","t1t4","kh_w","ua_w","khw_wua"
"orthogonal","74","same","thia2","th","ia","t2","tco2","tc","o","t2","thia","tco","th_tc","ia_o","t2t2","thia_tco","t2t2","tc_th","ia_o","tco_thia"
"orthogonal","75","diff","wua1","w","ua","t1","thia3","th","ia","t3","wua","thia","w_th","ua_ia","t1t3","wua_thia","t1t3","th_w","ia_ua","thia_wua"
"orthogonal","76","same","khw4","kh","w","t4","tco4","tc","o","t4","khw","tco","kh_tc","w_o","t4t4","khw_tco","t4t4","kh_tc","o_w","khw_tco"
"orthogonal","77","diff","tco1","tc","o","t1","thia4","th","ia","t4","tco","thia","tc_th","o_ia","t1t4","tco_thia","t1t4","tc_th","ia_o","tco_thia"
"orthogonal","78","same","wua3","w","ua","t3","thia3","th","ia","t3","wua","thia","w_th","ua_ia","t3t3","wua_thia","t3t3","th_w","ia_ua","thia_wua"
"orthogonal","79","diff","khw1","kh","w","t1","tco3","tc","o","t3","khw","tco","kh_tc","w_o","t1t3","khw_tco","t1t3","kh_tc","o_w","khw_tco"
"orthogonal","80","diff","khw3","kh","w","t3","thia5","th","ia","t5","khw","thia","kh_th","w_ia","t3t5","khw_thia","t3t5","kh_th","ia_w","khw_thia"
